video,J_mean,F_mean,T_mean
bike-packing,0.656,0.421,0.841
blackswan,0.885,0.694,0.906
bmx-trees,0.288,0.318,0.661
breakdance,0.318,0.192,0.121
camel,0.769,0.548,0.862
car-roundabout,0.718,0.358,0.859
car-shadow,0.769,0.361,0.891
cows,0.824,0.500,0.946
dance-twirl,0.550,0.335,0.499
dog,0.733,0.415,0.709
dogs-jump,0.806,0.622,0.763
drift-chicane,0.396,0.201,0.758
drift-straight,0.712,0.273,0.740
goat,0.688,0.323,0.799
gold-fish,0.305,0.189,0.792
horsejump-high,0.758,0.608,0.717
india,0.178,0.199,0.339
judo,0.700,0.418,0.821
kite-surf,0.611,0.495,0.670
lab-coat,0.919,0.632,0.883
libby,0.485,0.422,0.592
loading,0.636,0.363,0.811
mbike-trick,0.711,0.483,0.743
motocross-jump,0.720,0.449,0.626
paragliding-launch,0.615,0.286,0.900
parkour,0.793,0.582,0.697
pigs,0.804,0.438,0.915
scooter-black,0.549,0.307,0.582
shooting,0.575,0.243,0.469
soapbox,0.691,0.450,0.793
